iter	Passed	Remaining
0	405	1279763
1	689	1087106
2	1004	1055853
3	1325	1044343
4	1592	1003567
5	1874	984287
6	2143	964100
7	2419	951931
8	2711	948024
9	2984	939007
10	3242	927028
11	3482	912416
12	3721	899702
13	3984	894130
14	4231	886068
15	4483	879794
16	4745	876261
17	4991	870181
18	5245	866069
19	5496	861815
20	5758	859736
21	6018	857305
22	6269	853995
23	6574	857983
24	6819	854042
25	7064	850478
26	7327	849161
27	7613	850545
28	7858	847385
29	8113	845414
30	8353	842044
31	8636	843143
32	8897	841991
33	9176	842584
34	9445	842300
35	9732	843443
36	9979	841220
37	10217	838387
38	10487	838214
39	10780	839799
40	11029	838000
41	11337	840575
42	11821	855794
43	12320	871408
44	12772	883023
45	13238	895017
46	13715	907277
47	14211	920191
48	14684	931141
49	15103	938238
50	15573	948149
51	16032	957026
52	16441	962618
53	16896	970625
54	17350	978244
55	17793	984980
56	18222	990702
57	18697	998680
58	19182	1006939
59	19617	1012260
60	20006	1015094
61	20446	1020350
62	20918	1026987
63	21359	1031927
64	21606	1027478
65	21881	1024457
66	22189	1023024
67	22527	1023007
68	22801	1020137
69	23076	1017346
70	23356	1014838
71	23608	1011223
72	23864	1007855
73	24116	1004419
74	24393	1002086
75	24633	998288
76	24881	994951
77	25149	992454
78	25401	989375
79	25678	987343
80	25968	985844
81	26236	983564
82	26517	981769
83	26776	979252
84	27040	976959
85	27304	974704
86	27605	973806
87	27908	973005
88	28177	971003
89	28449	969190
90	28724	967476
91	29028	966775
92	29275	964210
93	29571	963275
94	29860	962123
95	30147	960965
96	30426	959522
97	30693	957777
98	30980	956646
99	31264	955447
100	31569	954909
101	31861	953969
102	32035	949567
103	32347	949281
104	32632	948212
105	32922	947294
106	33205	946193
107	33484	945019
108	33722	942687
109	34022	942126
110	34291	940711
111	34541	938779
112	34841	938240
113	35085	936216
114	35346	934674
115	35617	933418
116	35892	932284
117	36119	929929
118	36356	927861
119	36612	926297
120	36880	925062
121	37178	924574
122	37444	923318
123	37728	922521
124	37979	920936
125	38263	920157
126	38504	918343
127	38791	917661
128	39054	916414
129	39319	915232
130	39564	913603
131	39808	911982
132	40060	910539
133	40313	909164
134	40573	907938
135	40792	905841
136	41036	904294
137	41315	903552
138	41591	902755
139	41841	901376
140	42114	900543
141	42376	899448
142	42637	898371
143	42922	897787
144	43117	895358
145	43459	895981
146	43726	895052
147	44006	894398
148	44294	893907
149	44517	892122
150	44788	891324
151	45078	890898
152	45331	889734
153	45605	889018
154	45890	888504
155	46173	887959
156	46430	886901
157	46648	885137
158	46931	884619
159	47224	884277
160	47490	883440
161	47770	882873
162	47998	881342
163	48287	880944
164	48593	880867
165	48840	879719
166	49098	878783
167	49392	878482
168	49668	877871
169	49918	876797
170	50171	875804
171	50423	874781
172	50689	874031
173	50948	873152
174	51191	872006
175	51447	871105
176	51704	870212
177	51974	869549
178	52253	869044
179	52502	868049
180	52787	867646
181	53066	867142
182	53319	866230
183	53561	865138
184	53815	864241
185	54094	863765
186	54363	863129
187	54658	862906
188	54903	861894
189	55180	861391
190	55447	860745
191	55734	860399
192	56029	860180
193	56314	859806
194	56572	859038
195	56832	858281
196	57090	857516
197	57357	856890
198	57635	856419
199	57902	855793
200	58141	854764
201	58391	853903
202	58606	852540
203	58885	852113
204	59165	851692
205	59461	851505
206	59721	850816
207	60011	850541
208	60298	850239
